drug_name,side_effects,medical_condition
doxycycline,"(hives, difficult breathing, swelling face throat) severe skin reaction (fever, sore throat, burning eyes, skin pain, red purple skin rash spreads causes blistering peeling). Seek medical treatment serious drug reaction affect many parts body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, yellowing skin eyes. This reaction may occur several weeks began using doxycycline. Doxycycline may cause serious side effects. Call doctor have: severe stomach pain, diarrhea watery bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short breath; little urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising bleeding; severe headaches, ringing ears, dizziness, nausea, vision problems, pain behind eyes; loss appetite, upper stomach pain (that may spread back), tiredness, nausea vomiting, fast heart rate, dark urine, jaundice (yellowing skin eyes). Common side effects doxycycline may include: nausea vomiting; upset stomach; loss appetite; mild diarrhea; skin rash itching; darkened skin color; vaginal itching discharge.",Acne
spironolactone,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Call doctor have: light-headed feeling, like might pass out; little urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss movement; signs electrolyte imbalances - increased thirst urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss coordination, feeling unsteady. Common spironolactone side effects may include: breast swelling tenderness.",Acne
minocycline,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, yellowing skin eyes. This may likely long-term use minocycline, reaction may occur several weeks began using medicine. Call doctor have: little urination, swelling feet ankles, feeling tired short breath (signs kidney problems); loss appetite, upper stomach pain (that may spread back), nausea vomiting, loss appetite, easy bruising bleeding, dark urine, yellowing skin eyes (signs liver pancreas problems); joint pain swelling fever, swollen glands, muscle aches, chest pain, vomiting, unusual thoughts behavior, patchy skin color; severe headaches, ringing ears, dizziness, vision problems, pain behind eyes; swollen glands, flu symptoms, easy bruising bleeding, severe tingling numbness, muscle weakness, chest pain, new worsening cough fever, trouble breathing. Common minocycline side effects may include: numbness , tingling, burning pain; hair loss ; discoloration skin nails. dizziness, spinning sensation; muscle joint pain; nausea, diarrhea, loss appetite; swollen tongue, cough, trouble swallowing; rash, itching; headache .",Acne
Accutane,"problems vision hearing; muscle joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see hearing things real); symptoms depression - unusual mood changes, crying spells, feelings low self-worth, loss interest things enjoyed, new sleep problems, thoughts hurting yourself; signs liver pancreas problems - loss appetite, upper stomach pain (that may spread back), nausea vomiting, fast heart rate , dark urine, jaundice (yellowing skin eyes); severe stomach problems - severe stomach chest pain, pain swallowing, heartburn , diarrhea , rectal bleeding , bloody tarry stools; increased pressure inside skull - severe headaches, ringing ears, dizziness, nausea, vision problems, pain behind eyes. Common Accutane side effects may include: dryness skin, lips, eyes, nose (you may nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; cold symptoms stuffy nose, sneezing, sore throat.",Acne
clindamycin,"hives ; difficult breathing; swelling face, lips, tongue, throat. Clindamycin topical may cause serious side effects. Stop using clindamycin topical call doctor have: severe redness, itching, dryness treated skin areas; severe stomach pain, diarrhea watery bloody (even occurs months last dose). Common side effects clindamycin topical may include: burning, itching, dryness, peeling redness treated skin; oily skin.",Acne
Aldactone,"hives ; difficulty breathing; swelling face, lips, tongue, throat. Call doctor have: light-headed feeling, like might pass out; little urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss movement; signs electrolyte imbalances - increased thirst urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss coordination, feeling unsteady. Common Aldactone side effects may include: breast swelling tenderness.",Acne
tretinoin,"hives ; difficult breathing; swelling face, lips, tongue, throat. Tretinoin topical may cause serious side effects. Call doctor have: severe burning, stinging, irritation treated skin; severe skin dryness; severe redness, swelling, blistering, peeling, crusting. Your skin may sensitive weather extremes cold wind using tretinoin topical. Common side effects tretinoin topical may include: skin pain, redness, burning, itching, irritation; sore throat ; mild warmth stinging medicine applied; changes color treated skin.",Acne
isotretinoin,"problems vision hearing; muscle joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see hearing things real); symptoms depression--unusual mood changes, crying spells, feelings low self-worth, loss interest things enjoyed, new sleep problems, thoughts hurting yourself; signs liver pancreas problems--loss appetite, upper stomach pain (that may spread back), nausea vomiting, fast heart rate , dark urine, jaundice (yellowing skin eyes); severe stomach problems--severe stomach chest pain, pain swallowing, heartburn , diarrhea , rectal bleeding , bloody tarry stools; increased pressure inside skull--severe headaches, ringing ears, dizziness, nausea, vision problems, pain behind eyes. Common side effects isotretinoin may include: dryness skin, lips, eyes, nose (you may nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; cold symptoms stuffy nose, sneezing, sore throat.",Acne
Bactrim,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, yellowing skin eyes. Call doctor have: severe stomach pain, diarrhea watery bloody (even occurs months last dose); skin rash, matter mild; yellowing skin eyes; seizure; new unusual joint pain; increased decreased urination; swelling, bruising, irritation around IV needle; increased thirst, dry mouth, fruity breath odor; new worsening cough, fever, trouble breathing; high blood potassium - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss movement; low blood sodium - headache , confusion, problems thinking memory, weakness, feeling unsteady; low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands feet, feeling light-headed short breath. Common Bactrim side effects may include: nausea, vomiting, loss appetite; skin rash.",Acne
Retin-A,"hives; difficult breathing; swelling face, lips, tongue, throat. Stop using Retin-A call doctor have: severe burning, stinging, irritation treated skin; severe redness, swelling, blistering, peeling, crusting; Your skin may sensitive weather extremes cold wind using medicine. Common Retin-A side effects may include: mild warmth stinging medicine applied; changes color treated skin.",Acne
