,Actual_Temperature,Predicted_Temperature
0,11.427777,8.20524
1,11.361109,11.642691
2,10.42222,12.181743
3,10.833334,10.744546
4,10.911113,11.968639
5,12.583334,12.179483
6,14.955557,13.382282
7,17.222221,15.890119
8,17.95,18.661964
9,20.094444,18.496391
10,22.155556,20.906387
11,20.305557,23.217234
12,21.205557,20.806467
13,21.22778,21.648304
14,21.211111,21.180222
15,21.083334,21.025229
16,17.238892,21.446754
17,14.327779,16.356495
18,12.66111,13.115989
19,13.055556,12.390795
20,12.049999,13.827807
21,6.549999,12.318188
22,5.6055546,7.4638357
23,4.9277773,6.778172
24,3.7722223,6.9187183
25,3.8444445,5.0559006
26,4.0944448,5.4488254
27,3.7499998,5.45726
28,3.800001,5.5141435
29,6.8888884,5.3528557
30,9.838888,9.022486
31,12.1055565,12.126432
32,12.755557,13.980066
33,14.905556,14.182647
34,16.133333,16.431286
35,17.016665,17.940958
36,17.17778,17.467962
37,17.155558,17.68273
38,15.338888,18.047895
39,15.066667,15.1326475
40,12.283335,14.870816
41,11.327779,12.5833235
42,8.883332,11.76649
43,8.283333,9.117403
44,7.3666663,8.764241
45,9.844443,7.8475184
46,7.7111115,11.640674
47,11.388887,8.38204
48,7.883334,12.155035
49,6.8166666,8.238435
50,6.7055545,6.639538
51,6.144445,7.2284074
52,8.694446,7.284976
53,12.43889,9.956974
54,16.016666,13.816199
55,17.755556,17.845404
56,18.955555,19.682165
57,19.005556,20.459042
58,20.044447,20.284674
59,20.166664,20.907852
60,19.972223,20.375832
61,20.088886,19.944262
62,19.21111,20.098425
63,17.977776,19.200336
64,16.333334,17.553255
65,14.472223,15.526027
66,12.450002,14.003209
67,11.3944435,11.542364
68,10.266668,11.160762
69,9.788887,10.200566
70,11.761111,9.923945
71,7.3222227,12.996372
72,12.055555,7.228965
73,9.394444,12.602342
74,6.916667,10.133586
75,5.6833344,6.604765
76,7.3333325,5.765045
77,11.005556,8.080101
78,12.849999,13.076491
79,13.961111,14.596365
80,15.038888,16.186602
81,15.183332,16.995096
82,16.250002,15.323593
83,16.405554,16.315935
84,17.383333,17.334988
85,17.844444,17.865946
86,17.844444,19.374872
87,17.894442,18.173328
88,15.205555,17.3208
89,14.511109,15.168512
90,11.183334,14.741402
91,10.972222,11.318658
92,9.055554,11.199751
93,6.233332,9.287367
94,5.65,6.403108
95,7.777778,6.07556
96,6.4833326,8.422655
97,5.4944444,7.3085065
98,4.6777773,6.5384426
99,4.333334,6.499207
100,6.9499993,5.874043
101,11.727777,8.401833
102,14.955557,13.931225
103,17.316668,17.441414
104,18.838886,19.990767
105,20.072222,20.690989
106,21.111109,21.133995
107,21.2,22.243498
108,22.244444,22.225573
109,22.288889,22.549124
110,22.200003,22.423569
111,22.244444,21.873466
112,19.994446,22.076365
113,16.399998,20.248684
114,12.338887,16.222555
115,10.672222,12.623044
116,10.816667,10.144715
117,9.933334,10.89913
118,8.772222,10.274071
119,9.116667,8.9658575
120,7.250001,11.512636
121,6.672222,7.5112543
122,7.3333325,6.073989
123,7.1111107,8.271198
124,9.733334,9.129059
125,12.572223,11.692423
126,16.11111,14.630023
127,18.866667,18.31674
128,20.1,21.353683
129,20.644444,21.614588
130,22.266666,20.256056
131,22.327776,22.771791
132,22.405556,23.022472
133,22.333334,22.62612
134,21.494444,22.434048
135,20.25,21.48602
136,17.977776,20.565174
137,16.372223,18.281065
138,13.91111,16.656479
139,13.244446,14.332209
140,10.88889,13.279726
141,8.472222,10.515317
142,8.4777775,8.787976
143,10.388889,9.5062895
144,8.772222,11.553277
145,8.1,9.661849
146,7.6833334,8.292216
147,7.0111117,8.380296
148,8.783334,8.697222
149,12.066667,10.394685
150,14.072221,14.16882
151,17.333332,15.873974
152,18.033333,18.356092
153,20.138887,19.01304
154,21.250002,20.933187
155,21.377775,21.892408
156,22.311111,21.72434
157,22.311111,22.592983
158,21.41111,22.708462
159,21.272224,21.591547
160,18.027777,21.56137
161,15.427779,18.136839
162,11.316668,15.328795
163,9.5611105,10.592066
164,8.972223,8.849742
165,10.42222,8.532626
166,9.36111,10.815202
167,9.544444,10.835254
168,10.394445,11.225757
169,9.377777,11.331476
170,6.1388893,9.413959
171,5.1555552,5.903849
172,7.8500004,5.611158
173,12.583334,9.045679
174,15.116668,15.202105
175,16.288889,17.375576
176,17.877777,17.59932
177,19.005556,19.283031
178,19.116667,20.12589
179,20.111109,20.071373
180,20.155554,20.444023
181,20.138887,20.741072
182,20.216667,20.703918
183,19.06667,20.627066
184,17.866667,18.608063
185,15.261112,17.51887
186,13.844445,14.827217
187,13.244446,13.828504
188,12.244445,13.226178
189,11.733333,12.102763
190,10.57778,11.803437
191,3.4944437,10.422183
192,7.8611116,2.9169042
193,7.172221,8.166288
194,5.666667,8.815339
195,5.0166664,6.394186
196,6.0833325,6.682574
197,8.005556,7.7689257
198,11.316668,9.451771
199,14.072221,13.268482
200,16.077776,15.770801
201,17.266666,18.028131
202,17.333332,19.147722
203,17.383333,17.66336
204,17.355555,17.497375
205,17.377777,17.866081
206,17.4,17.68551
207,16.266666,17.410397
208,14.066666,16.37541
209,12.427778,13.900904
210,7.355555,12.25276
211,6.6666665,6.325897
212,6.1500006,5.8306775
213,3.961112,6.6482224
214,4.3777776,4.323556
215,7.522222,4.9698644
216,2.733333,9.071644
217,2.2722223,3.8129408
218,1.7500006,2.302725
219,2.2277784,3.0949106
220,3.944445,4.416717
221,8.927777,5.516634
222,12.900001,11.787079
223,16.161112,15.962078
224,17.211113,18.576038
225,17.850002,18.580536
226,17.938887,18.059294
227,19.027779,18.37092
228,19.050001,19.631023
229,19.072224,18.755056
230,19.97778,18.240675
231,19.005556,20.580648
232,16.361109,19.459396
233,14.305556,16.131298
234,11.255554,14.044343
235,10.12222,11.246088
236,10.550001,9.738245
237,8.994446,10.570517
238,8.461111,9.196036
239,8.561111,8.931318
240,5.777777,9.351569
241,5.2222233,5.6136565
242,5.783333,5.0721464
243,4.1555557,6.749776
244,7.816666,5.834563
245,13.622222,9.271862
246,17.688889,16.145227
247,19.905556,20.381432
248,20.044447,21.525034
249,22.194447,20.772842
250,22.266666,22.621367
251,21.255558,22.895397
252,20.994444,21.0356
253,18.905554,20.444195
254,17.93333,18.573317
255,13.955555,17.050272
256,12.822221,14.386453
257,12.966665,14.141711
258,12.199999,13.641729
259,11.105555,12.322942
260,10.588891,10.448773
261,9.005555,9.839116
262,8.955556,8.4267025
263,5.744445,9.193137
264,6.2499995,5.7845745
265,5.188889,6.7485304
266,3.155556,5.4295845
267,3.0388885,2.848871
268,5.011111,3.7824655
269,7.7111115,5.995457
270,11.161112,9.582877
271,12.266667,13.53425
272,12.883334,13.815442
273,13.961111,13.642318
274,15.072223,15.147548
275,15.183332,16.063713
276,16.161112,14.827681
277,16.11111,15.529904
278,16.127777,16.016693
279,14.044443,15.944565
280,12.427778,13.9355545
281,9.583334,11.922553
282,6.3000007,9.174773
283,6.1388893,5.8874283
284,4.105556,5.4390864
285,6.477779,4.17459
286,4.4444456,6.4093723
287,4.183334,5.6503406
288,2.316666,5.581943
289,2.7111104,3.7570455
290,2.877777,3.892972
291,2.111111,5.303848
292,3.688889,4.3540573
293,6.7833343,5.8709893
294,9.844443,8.334118
295,12.733334,11.623764
296,14.977779,14.464809
297,16.22778,16.88307
298,17.244444,18.50475
299,17.161112,18.963171
300,17.288889,17.302359
301,17.244444,16.977673
302,17.194447,17.85884
303,16.155556,16.927141
304,13.905554,16.379137
305,10.411109,14.33669
306,8.816668,9.810009
307,6.1611104,9.045051
308,5.8611107,5.690483
309,4.9444447,5.2660785
310,4.938889,6.077155
311,6.294445,5.765956
312,3.8055565,6.5186005
313,3.7111118,4.871288
314,3.505555,4.742639
315,2.716666,4.412234
316,5.9388885,4.4339046
317,10.716664,7.8607674
318,13.894443,12.795241
319,16.161112,16.261732
320,17.255556,17.7403
321,18.961111,18.069904
322,19.050001,20.11381
323,20.96667,19.700693
324,21.155556,21.280415
325,21.155556,21.985258
326,21.233335,21.847187
327,20.088886,21.11754
328,17.4,20.537653
329,14.494446,16.724443
330,12.894445,13.439686
331,12.783335,12.364709
332,11.666668,12.019723
333,8.611111,10.597739
334,7.4555554,7.34114
335,5.577778,6.449815
336,7.277777,5.8718705
337,6.7611113,7.414506
338,6.7444444,6.6700974
339,8.866667,7.071722
340,7.8277774,10.873327
341,10.016666,9.536912
342,11.133333,10.955971
343,12.77778,12.131704
344,14.050002,13.483981
345,14.5611105,13.772542
346,16.22778,13.804492
347,16.872225,15.733905
348,17.316668,15.897073
349,17.800001,16.104391
350,17.877777,16.801233
351,17.266666,16.99871
352,15.55,16.186811
353,13.155555,14.087118
354,11.116666,11.578193
355,7.755555,9.994322
356,7.688889,6.2695785
357,5.5555553,6.998746
358,5.927777,5.2157145
359,2.6277769,5.9996567
360,2.8277779,3.3095772
361,3.3111115,2.8257709
362,4.022221,3.8129628
363,3.1777787,4.902521
364,3.5444448,4.1449647
365,8.15,3.839897
366,10.65,9.065721
367,12.316665,11.603205
368,14.594444,12.962857
369,15.622225,14.711761
370,16.755554,16.01276
371,17.455557,16.233372
372,17.844444,17.386717
373,17.866667,17.460207
374,17.93333,16.54122
375,16.822224,16.94092
376,15.661111,15.881304
377,12.555555,14.311325
378,10.511111,10.898795
379,8.794445,9.281046
380,5.9666667,8.1742
381,3.005556,5.4950256
382,4.0,2.9403303
383,5.705555,4.2258606
384,0.71111125,6.39217
385,0.13888846,2.4676738
386,1.3999997,1.2465708
387,0.53333294,2.3864448
388,4.8,1.4967294
389,11.67222,6.0097747
390,13.961111,15.790245
391,16.161112,16.528412
392,17.666666,16.83212
393,18.961111,18.145786
394,20.072222,19.803839
395,20.122223,20.515585
396,21.22778,19.882515
397,21.205557,20.808115
398,21.244446,21.666435
399,20.16111,21.400564
400,17.983332,20.016315
401,15.388889,17.539885
402,9.166668,15.319237
403,9.472223,8.403801
404,6.9611106,8.010567
405,7.2055554,6.9763336
406,4.5888896,7.9076138
407,10.033333,5.360367
408,4.0833335,9.34605
409,3.0166676,5.376009
410,4.838888,4.057744
411,5.0722218,5.6272917
412,9.900001,7.6319265
413,14.37778,11.860212
414,14.144445,16.951244
415,13.261109,15.613284
416,14.188887,12.727329
417,16.572222,14.095904
418,21.322222,17.445137
419,22.11111,23.91237
420,22.822224,23.773563
421,22.194447,23.269323
422,22.361109,22.002293
423,19.022223,21.72622
424,17.150002,18.784742
425,17.294445,16.215895
426,15.96111,18.10535
427,14.833332,16.093428
428,13.916666,14.7980585
429,12.655555,13.468362
430,11.477778,12.380464
431,9.977777,11.188695
432,7.8277774,10.166379
433,7.755555,8.740297
434,8.261111,8.369206
435,6.2499995,9.229956
436,9.933334,7.88806
437,12.150002,10.312891
438,12.9333315,14.315343
439,13.98889,14.750998
440,13.633333,16.094303
441,12.977777,14.886898
442,16.288889,13.353503
443,17.344442,17.95219
444,17.866667,18.991016
445,17.866667,18.716211
446,16.588888,18.267159
447,15.127779,16.347076
448,14.161112,14.920236
449,14.155557,14.339876
450,12.750001,14.865076
451,11.638889,13.2396
452,10.861112,11.667628
453,12.477777,11.005317
454,12.122223,13.658102
455,8.694446,13.469797
456,7.7611113,9.438952
457,6.6888895,8.765938
458,7.883334,7.9495516
459,5.122223,8.777397
460,7.8500004,7.90298
461,13.627777,9.403263
462,16.11111,15.968068
463,17.338886,18.845703
464,19.055557,19.26891
465,19.050001,20.826998
466,21.183334,20.149328
467,22.088888,21.884504
468,22.338886,22.356348
469,22.333334,22.145388
470,22.161112,22.209642
471,19.03889,22.113783
472,14.344446,18.317343
473,13.622222,12.595318
474,12.349999,13.210413
475,11.288889,13.002229
476,10.655556,11.879778
477,9.594445,11.101188
478,9.488887,9.879749
479,7.705556,10.31842
480,6.822222,9.363365
481,7.250001,7.1592574
482,6.144445,8.392688
483,6.2277784,7.81437
484,8.916666,7.4545255
485,12.488888,9.649494
486,15.127779,14.979634
487,19.005556,18.11945
488,20.044447,21.223467
489,21.188889,21.689909
490,22.316668,21.506975
491,22.177778,22.84051
492,22.82778,22.186478
493,22.82778,22.58848
494,22.377777,22.659946
495,22.299997,22.23284
496,21.111109,21.213375
497,14.927778,21.774319
498,12.916668,14.190233
499,11.816668,12.305064
500,10.394445,11.198184
501,9.088889,9.923235
502,7.9777775,10.148056
503,11.644445,8.372485
504,7.9333334,12.801334
505,7.355555,9.493523
506,9.566667,7.8801537
507,8.055555,10.680909
508,11.288889,10.416168
509,16.094442,12.596285
510,19.95,17.77872
511,22.122223,21.661175
512,23.555555,23.191696
513,23.761112,24.521544
514,23.938887,23.88692
515,24.105558,24.235174
516,23.51111,24.747118
517,23.005554,23.08045
518,22.688887,22.326988
519,21.405554,22.575058
520,19.277777,20.62758
521,16.222223,18.875105
522,14.288889,16.14009
523,14.038891,14.1661415
524,12.505554,13.935158
525,11.311111,12.023038
526,11.244447,11.018584
527,10.57778,11.336156
528,12.150002,10.6226845
529,12.077778,12.967475
530,11.3,12.704289
531,10.966666,11.305622
532,12.58889,11.728057
533,16.916666,13.739152
534,20.972221,18.326527
535,22.733334,22.666363
536,23.905554,24.024916
537,25.094444,24.20169
538,24.95,25.100725
539,24.972223,24.680347
540,24.0,25.11233
541,22.283333,23.456926
542,21.383331,21.245586
543,18.92222,20.439762
544,17.277779,18.644217
545,14.4388895,16.768557
546,12.861111,13.806145
547,13.261109,13.015371
548,12.25,13.816225
549,4.8833337,13.16884
550,4.283333,5.767091
551,6.933334,4.7732043
552,3.1999996,8.44525
553,2.1611104,3.8370142
554,1.9222232,2.7596416
555,1.0944444,3.0792499
556,2.0888882,2.7672467
557,5.872222,4.0595984
558,10.027778,7.7564034
559,13.938889,12.259831
560,15.966666,16.099983
561,16.205557,18.378271
562,17.288889,18.23212
563,16.355556,17.801651
564,17.338886,16.45167
565,17.288889,17.278503
566,17.277779,17.184355
567,15.205555,17.61375
568,12.9333315,15.592282
569,11.399999,13.349529
570,9.972224,11.87884
571,8.788889,10.744524
572,7.655555,8.993478
573,11.016667,7.56455
574,9.933334,11.0343685
575,6.3833323,10.903736
576,8.816668,7.7273664
577,7.805555,8.967778
578,7.277777,8.947031
579,7.716667,8.37924
580,9.844443,9.345841
581,11.133333,11.93667
582,12.822221,12.998381
583,15.044444,14.053041
584,17.016665,16.324415
585,17.777779,18.651524
586,18.81667,19.243961
587,19.072224,19.810461
588,18.983334,19.458548
589,17.938887,19.149944
590,18.116669,18.268505
591,18.933332,18.402613
592,16.316668,19.939346
593,13.588887,16.451214
594,10.394445,12.639755
595,8.616667,9.564223
596,7.655555,7.311794
597,7.705556,7.104162
598,5.616666,8.39146
599,5.9666667,6.164769
600,6.549999,7.2292166
601,4.4666667,7.9801946
602,3.6,4.9727254
603,3.8166661,4.7066703
604,2.916667,5.813856
605,6.1611104,4.931915
606,10.166666,7.6168013
607,12.344443,12.894876
608,13.055556,14.292289
609,15.116668,14.031459
610,16.22778,16.822186
611,17.17778,18.1236
612,17.333332,17.967335
613,17.222221,17.903955
614,17.211113,18.442945
615,16.016666,17.413805
616,13.83889,15.67972
617,12.244445,13.457244
618,8.972223,12.27088
619,8.372222,9.401689
620,7.405556,8.676804
621,6.71111,7.9581356
622,6.1333337,7.3511806
623,5.2555556,7.25031
624,5.466666,6.300236
625,4.9055567,6.2935767
626,4.349999,6.0140486
627,2.677778,5.1525526
628,3.7722223,4.362987
629,4.533333,6.0221963
630,7.16111,5.7817397
631,7.8277774,8.905915
632,9.866666,10.520902
633,10.094442,11.28079
634,12.199999,11.191046
635,12.244445,12.835636
636,12.800002,12.434048
637,12.894445,13.021442
638,12.92222,12.914567
639,12.31111,13.133093
640,9.188888,12.451046
641,9.166668,9.341636
642,5.2388887,9.851522
643,5.6611114,5.387529
644,4.8722224,5.5094724
645,3.9500008,5.2575293
646,5.5,4.314816
647,6.3055563,5.937249
648,4.527777,5.848366
649,3.9500008,5.3479805
650,4.566667,4.799686
651,4.0333323,5.2777104
652,6.0277777,5.9224052
653,8.561111,7.6700716
654,12.199999,9.941168
655,11.3,13.88384
656,13.816667,12.224904
657,16.13889,14.450961
658,17.244444,17.374996
659,17.644442,17.509317
660,17.894442,18.370235
661,17.894442,18.808554
662,17.96111,18.998404
663,17.822224,18.241978
664,15.155554,16.927732
665,12.755557,14.928573
666,10.27778,13.202587
667,8.683334,10.40236
668,8.372222,8.234613
669,7.250001,8.198034
670,7.133333,7.4928265
671,8.822223,7.1889234
672,3.9166665,9.199233
673,3.3499994,4.2542243
674,3.355555,3.5469558
675,3.0222232,4.2122808
676,4.2111106,4.495935
677,8.850001,5.5729837
678,12.266667,10.55219
679,12.872223,14.399186
680,14.038891,14.962286
681,15.072223,15.220736
682,17.17778,16.13596
683,17.161112,17.764467
684,17.222221,18.029388
685,16.250002,17.880129
